main_term,path,full_term,level,type,value,code
Alteration,Alteration > Arm > Lower > Left,Alteration > Arm > Lower > Left,3,codes,,0X0F
Alteration,Alteration > Arm > Lower > Right,Alteration > Arm > Lower > Right,3,codes,,0X0D
Alteration,Alteration > Arm > Upper > Left,Alteration > Arm > Upper > Left,3,codes,,0X09
Alteration,Alteration > Arm > Upper > Right,Alteration > Arm > Upper > Right,3,codes,,0X08
Alteration,Alteration > Axilla > Left,Alteration > Axilla > Left,2,codes,,0X05
Alteration,Alteration > Axilla > Right,Alteration > Axilla > Right,2,codes,,0X04
Alteration,Alteration > Back > Lower,Alteration > Back > Lower,2,codes,,0W0L
Alteration,Alteration > Back > Upper,Alteration > Back > Upper,2,codes,,0W0K
Alteration,Alteration > Breast > Bilateral,Alteration > Breast > Bilateral,2,codes,,0H0V
Alteration,Alteration > Breast > Left,Alteration > Breast > Left,2,codes,,0H0U
Alteration,Alteration > Breast > Right,Alteration > Breast > Right,2,codes,,0H0T
Alteration,Alteration > Buttock > Left,Alteration > Buttock > Left,2,codes,,0Y01
Alteration,Alteration > Buttock > Right,Alteration > Buttock > Right,2,codes,,0Y00
Alteration,Alteration > Chest Wall,Alteration > Chest Wall,1,codes,,0W08
Alteration,Alteration > Ear > Bilateral,Alteration > Ear > Bilateral,2,codes,,0902
Alteration,Alteration > Ear > Left,Alteration > Ear > Left,2,codes,,0901
Alteration,Alteration > Ear > Right,Alteration > Ear > Right,2,codes,,0900
Alteration,Alteration > Elbow Region > Left,Alteration > Elbow Region > Left,2,codes,,0X0C
Alteration,Alteration > Elbow Region > Right,Alteration > Elbow Region > Right,2,codes,,0X0B
Alteration,Alteration > Extremity > Lower > Left,Alteration > Extremity > Lower > Left,3,codes,,0Y0B
Alteration,Alteration > Extremity > Lower > Right,Alteration > Extremity > Lower > Right,3,codes,,0Y09
Alteration,Alteration > Extremity > Upper > Left,Alteration > Extremity > Upper > Left,3,codes,,0X07
Alteration,Alteration > Extremity > Upper > Right,Alteration > Extremity > Upper > Right,3,codes,,0X06
Alteration,Alteration > Eyelid > Lower > Left,Alteration > Eyelid > Lower > Left,3,codes,,080R
Alteration,Alteration > Eyelid > Lower > Right,Alteration > Eyelid > Lower > Right,3,codes,,080Q
Alteration,Alteration > Eyelid > Upper > Left,Alteration > Eyelid > Upper > Left,3,codes,,080P
Alteration,Alteration > Eyelid > Upper > Right,Alteration > Eyelid > Upper > Right,3,codes,,080N
Alteration,Alteration > Face,Alteration > Face,1,codes,,0W02
Alteration,Alteration > Head,Alteration > Head,1,codes,,0W00
Alteration,Alteration > Jaw > Lower,Alteration > Jaw > Lower,2,codes,,0W05
Alteration,Alteration > Jaw > Upper,Alteration > Jaw > Upper,2,codes,,0W04
Alteration,Alteration > Knee Region > Left,Alteration > Knee Region > Left,2,codes,,0Y0G
Alteration,Alteration > Knee Region > Right,Alteration > Knee Region > Right,2,codes,,0Y0F
Alteration,Alteration > Leg > Lower > Left,Alteration > Leg > Lower > Left,3,codes,,0Y0J
Alteration,Alteration > Leg > Lower > Right,Alteration > Leg > Lower > Right,3,codes,,0Y0H
Alteration,Alteration > Leg > Upper > Left,Alteration > Leg > Upper > Left,3,codes,,0Y0D
Alteration,Alteration > Leg > Upper > Right,Alteration > Leg > Upper > Right,3,codes,,0Y0C
Alteration,Alteration > Lip > Lower,Alteration > Lip > Lower,2,codes,,0C01X
Alteration,Alteration > Lip > Upper,Alteration > Lip > Upper,2,codes,,0C00X
Alteration,Alteration > Nasal Mucosa and Soft Tissue,Alteration > Nasal Mucosa and Soft Tissue,1,codes,,090K
Alteration,Alteration > Neck,Alteration > Neck,1,codes,,0W06
Alteration,Alteration > Perineum > Female,Alteration > Perineum > Female,2,codes,,0W0N
Alteration,Alteration > Perineum > Male,Alteration > Perineum > Male,2,codes,,0W0M
Alteration,Alteration > Shoulder Region > Left,Alteration > Shoulder Region > Left,2,codes,,0X03
Alteration,Alteration > Shoulder Region > Right,Alteration > Shoulder Region > Right,2,codes,,0X02
Alteration,Alteration > Subcutaneous Tissue and Fascia > Abdomen,Alteration > Subcutaneous Tissue and Fascia > Abdomen,2,codes,,0J08
Alteration,Alteration > Subcutaneous Tissue and Fascia > Back,Alteration > Subcutaneous Tissue and Fascia > Back,2,codes,,0J07
Alteration,Alteration > Subcutaneous Tissue and Fascia > Buttock,Alteration > Subcutaneous Tissue and Fascia > Buttock,2,codes,,0J09
Alteration,Alteration > Subcutaneous Tissue and Fascia > Chest,Alteration > Subcutaneous Tissue and Fascia > Chest,2,codes,,0J06
Alteration,Alteration > Subcutaneous Tissue and Fascia > Face,Alteration > Subcutaneous Tissue and Fascia > Face,2,codes,,0J01
Alteration,Alteration > Subcutaneous Tissue and Fascia > Lower Arm > Left,Alteration > Subcutaneous Tissue and Fascia > Lower Arm > Left,3,codes,,0J0H
Alteration,Alteration > Subcutaneous Tissue and Fascia > Lower Arm > Right,Alteration > Subcutaneous Tissue and Fascia > Lower Arm > Right,3,codes,,0J0G
Alteration,Alteration > Subcutaneous Tissue and Fascia > Lower Leg > Left,Alteration > Subcutaneous Tissue and Fascia > Lower Leg > Left,3,codes,,0J0P
Alteration,Alteration > Subcutaneous Tissue and Fascia > Lower Leg > Right,Alteration > Subcutaneous Tissue and Fascia > Lower Leg > Right,3,codes,,0J0N
Alteration,Alteration > Subcutaneous Tissue and Fascia > Neck > Left,Alteration > Subcutaneous Tissue and Fascia > Neck > Left,3,codes,,0J05
Alteration,Alteration > Subcutaneous Tissue and Fascia > Neck > Right,Alteration > Subcutaneous Tissue and Fascia > Neck > Right,3,codes,,0J04
