main_term,path,full_term,level,type,value,code
"Perfusion, donor organ","Perfusion, donor organ > Kidney(s)","Perfusion, donor organ > Kidney(s)",1,code,,6ABT0BZ
"Perfusion, donor organ","Perfusion, donor organ > Liver","Perfusion, donor organ > Liver",1,code,,6ABF0BZ
"Perfusion, donor organ","Perfusion, donor organ > Lung(s)","Perfusion, donor organ > Lung(s)",1,code,,6ABB0BZ
Perianal skin,Perianal skin,Perianal skin,0,use,"Skin, Perineum",
Pericardiectomy,Pericardiectomy,Pericardiectomy,1,see,"Excision, Pericardium 02BN",02BN
Pericardiectomy,Pericardiectomy,Pericardiectomy,1,see,"Resection, Pericardium 02TN",02TN
Pericardiocentesis,Pericardiocentesis,Pericardiocentesis,0,see,"Drainage, Pericardial Cavity 0W9D",0W9D
Pericardiolysis,Pericardiolysis,Pericardiolysis,0,see,"Release, Pericardium 02NN",02NN
Pericardiophrenic artery,Pericardiophrenic artery,Pericardiophrenic artery,1,use,"Internal Mammary Artery, Right",
Pericardiophrenic artery,Pericardiophrenic artery,Pericardiophrenic artery,1,use,"Internal Mammary Artery, Left",
Pericardioplasty,Pericardioplasty,Pericardioplasty,1,see,"Repair, Pericardium 02QN",02QN
Pericardioplasty,Pericardioplasty,Pericardioplasty,1,see,"Replacement, Pericardium 02RN",02RN
Pericardioplasty,Pericardioplasty,Pericardioplasty,1,see,"Supplement, Pericardium 02UN",02UN
Pericardiorrhaphy,Pericardiorrhaphy,Pericardiorrhaphy,0,see,"Repair, Pericardium 02QN",02QN
Pericardiostomy,Pericardiostomy,Pericardiostomy,0,see,"Drainage, Pericardial Cavity 0W9D",0W9D
Pericardiotomy,Pericardiotomy,Pericardiotomy,0,see,"Drainage, Pericardial Cavity 0W9D",0W9D
Perimetrium,Perimetrium,Perimetrium,0,use,Uterus,
Peripheral Intravascular Lithotripsy (Peripheral IVL),Peripheral Intravascular Lithotripsy (Peripheral IVL),Peripheral Intravascular Lithotripsy (Peripheral IVL),0,see,Fragmentation,
Peripheral parenteral nutrition,Peripheral parenteral nutrition,Peripheral parenteral nutrition,0,see,Introduction of Nutritional Substance,
Peripherally inserted central catheter (PICC),Peripherally inserted central catheter (PICC),Peripherally inserted central catheter (PICC),0,use,Infusion Device,
Peritoneal dialysis,Peritoneal dialysis,Peritoneal dialysis,0,code,,3E1M39Z
Peritoneocentesis,Peritoneocentesis,Peritoneocentesis,1,see,"Drainage, Peritoneum 0D9W",0D9W
Peritoneocentesis,Peritoneocentesis,Peritoneocentesis,1,see,"Drainage, Peritoneal Cavity 0W9G",0W9G
Peritoneoplasty,Peritoneoplasty,Peritoneoplasty,1,see,"Repair, Peritoneum 0DQW",0DQW
Peritoneoplasty,Peritoneoplasty,Peritoneoplasty,1,see,"Replacement, Peritoneum 0DRW",0DRW
Peritoneoplasty,Peritoneoplasty,Peritoneoplasty,1,see,"Supplement, Peritoneum 0DUW",0DUW
Peritoneoscopy,Peritoneoscopy,Peritoneoscopy,0,code,,0DJW4ZZ
Peritoneotomy,Peritoneotomy,Peritoneotomy,0,see,"Drainage, Peritoneum 0D9W",0D9W
Peritoneumectomy,Peritoneumectomy,Peritoneumectomy,0,see,"Excision, Peritoneum 0DBW",0DBW
Peroneus brevis muscle,Peroneus brevis muscle,Peroneus brevis muscle,1,use,"Lower Leg Muscle, Right",
Peroneus brevis muscle,Peroneus brevis muscle,Peroneus brevis muscle,1,use,"Lower Leg Muscle, Left",
Peroneus longus muscle,Peroneus longus muscle,Peroneus longus muscle,1,use,"Lower Leg Muscle, Right",
Peroneus longus muscle,Peroneus longus muscle,Peroneus longus muscle,1,use,"Lower Leg Muscle, Left",
Pessary ring,Pessary ring,Pessary ring,0,use,"Intraluminal Device, Pessary in Female Reproductive System",
PET scan,PET scan,PET scan,0,see,Positron Emission Tomographic (PET) Imaging,
Petrous part of temporal bone,Petrous part of temporal bone,Petrous part of temporal bone,1,use,"Temporal Bone, Right",
Petrous part of temporal bone,Petrous part of temporal bone,Petrous part of temporal bone,1,use,"Temporal Bone, Left",
"Phacoemulsification, lens","Phacoemulsification, lens > With IOL implant","Phacoemulsification, lens > With IOL implant",1,see,"Replacement, Eye 08R",
"Phacoemulsification, lens","Phacoemulsification, lens > Without IOL implant","Phacoemulsification, lens > Without IOL implant",1,see,"Extraction, Eye 08D",
Phagenyx(R) System,Phagenyx(R) System,Phagenyx(R) System,0,code,,XWHD7Q7
Phalangectomy,Phalangectomy,Phalangectomy,1,see,"Excision, Upper Bones 0PB",
Phalangectomy,Phalangectomy,Phalangectomy,1,see,"Resection, Upper Bones 0PT",
Phalangectomy,Phalangectomy,Phalangectomy,1,see,"Excision, Lower Bones 0QB",
Phalangectomy,Phalangectomy,Phalangectomy,1,see,"Resection, Lower Bones 0QT",
Phallectomy,Phallectomy,Phallectomy,1,see,"Excision, Penis 0VBS",0VBS
Phallectomy,Phallectomy,Phallectomy,1,see,"Resection, Penis 0VTS",0VTS
Phalloplasty,Phalloplasty,Phalloplasty,1,see,"Repair, Penis 0VQS",0VQS
Phalloplasty,Phalloplasty,Phalloplasty,1,see,"Supplement, Penis 0VUS",0VUS
Phallotomy,Phallotomy,Phallotomy,0,see,"Drainage, Penis 0V9S",0V9S
"Pharmacotherapy, for substance abuse","Pharmacotherapy, for substance abuse > Antabuse","Pharmacotherapy, for substance abuse > Antabuse",1,code,,HZ93ZZZ
"Pharmacotherapy, for substance abuse","Pharmacotherapy, for substance abuse > Bupropion","Pharmacotherapy, for substance abuse > Bupropion",1,code,,HZ97ZZZ
"Pharmacotherapy, for substance abuse","Pharmacotherapy, for substance abuse > Clonidine","Pharmacotherapy, for substance abuse > Clonidine",1,code,,HZ96ZZZ
"Pharmacotherapy, for substance abuse","Pharmacotherapy, for substance abuse > Levo-alpha-acetyl-methadol (LAAM)","Pharmacotherapy, for substance abuse > Levo-alpha-acetyl-methadol (LAAM)",1,code,,HZ92ZZZ
"Pharmacotherapy, for substance abuse","Pharmacotherapy, for substance abuse > Methadone Maintenance","Pharmacotherapy, for substance abuse > Methadone Maintenance",1,code,,HZ91ZZZ
"Pharmacotherapy, for substance abuse","Pharmacotherapy, for substance abuse > Naloxone","Pharmacotherapy, for substance abuse > Naloxone",1,code,,HZ95ZZZ
"Pharmacotherapy, for substance abuse","Pharmacotherapy, for substance abuse > Naltrexone","Pharmacotherapy, for substance abuse > Naltrexone",1,code,,HZ94ZZZ
"Pharmacotherapy, for substance abuse","Pharmacotherapy, for substance abuse > Nicotine Replacement","Pharmacotherapy, for substance abuse > Nicotine Replacement",1,code,,HZ90ZZZ
"Pharmacotherapy, for substance abuse","Pharmacotherapy, for substance abuse > Psychiatric Medication","Pharmacotherapy, for substance abuse > Psychiatric Medication",1,code,,HZ98ZZZ
"Pharmacotherapy, for substance abuse","Pharmacotherapy, for substance abuse > Replacement Medication, Other","Pharmacotherapy, for substance abuse > Replacement Medication, Other",1,code,,HZ99ZZZ
Pharyngeal constrictor muscle,Pharyngeal constrictor muscle,Pharyngeal constrictor muscle,0,use,"Tongue, Palate, Pharynx Muscle",
Pharyngeal plexus,Pharyngeal plexus,Pharyngeal plexus,0,use,Vagus Nerve,
Pharyngeal recess,Pharyngeal recess,Pharyngeal recess,0,use,Nasopharynx,
Pharyngeal tonsil,Pharyngeal tonsil,Pharyngeal tonsil,0,use,Adenoids,
Pharyngogram,Pharyngogram,Pharyngogram,0,see,"Fluoroscopy, Pharynx B91G",B91G
Pharyngoplasty,Pharyngoplasty,Pharyngoplasty,1,see,"Repair, Mouth and Throat 0CQ",
Pharyngoplasty,Pharyngoplasty,Pharyngoplasty,1,see,"Replacement, Mouth and Throat 0CR",
Pharyngoplasty,Pharyngoplasty,Pharyngoplasty,1,see,"Supplement, Mouth and Throat 0CU",
Pharyngorrhaphy,Pharyngorrhaphy,Pharyngorrhaphy,0,see,"Repair, Mouth and Throat 0CQ",
Pharyngotomy,Pharyngotomy,Pharyngotomy,0,see,"Drainage, Mouth and Throat 0C9",
Pharyngotympanic tube,Pharyngotympanic tube,Pharyngotympanic tube,1,use,"Eustachian Tube, Right",
Pharyngotympanic tube,Pharyngotympanic tube,Pharyngotympanic tube,1,use,"Eustachian Tube, Left",
Phenotypic Fully Automated Rapid Susceptibility Technology with Controlled Inoculum,Phenotypic Fully Automated Rapid Susceptibility Technology with Controlled Inoculum,Phenotypic Fully Automated Rapid Susceptibility Technology with Controlled Inoculum,0,code,,XXE5X2A
Pheresis,Pheresis > Erythrocytes,Pheresis > Erythrocytes,1,codes,,6A55
Pheresis,Pheresis > Leukocytes,Pheresis > Leukocytes,1,codes,,6A55
Pheresis,Pheresis > Plasma,Pheresis > Plasma,1,codes,,6A55
Pheresis,Pheresis > Platelets,Pheresis > Platelets,1,codes,,6A55
Pheresis,Pheresis > Stem Cells > Cord Blood,Pheresis > Stem Cells > Cord Blood,2,codes,,6A55
Pheresis,Pheresis > Stem Cells > Hematopoietic,Pheresis > Stem Cells > Hematopoietic,2,codes,,6A55
Phlebectomy,Phlebectomy,Phlebectomy,1,see,"Excision, Upper Veins 05B",
Phlebectomy,Phlebectomy,Phlebectomy,1,see,"Extraction, Upper Veins 05D",
Phlebectomy,Phlebectomy,Phlebectomy,1,see,"Excision, Lower Veins 06B",
Phlebectomy,Phlebectomy,Phlebectomy,1,see,"Extraction, Lower Veins 06D",
Phlebography,Phlebography,Phlebography,1,see,"Plain Radiography, Veins B50",
Phlebography,Phlebography > Impedance,Phlebography > Impedance,1,code,,4A04X51
Phleborrhaphy,Phleborrhaphy,Phleborrhaphy,1,see,"Repair, Upper Veins 05Q",
Phleborrhaphy,Phleborrhaphy,Phleborrhaphy,1,see,"Repair, Lower Veins 06Q",
Phlebotomy,Phlebotomy,Phlebotomy,1,see,"Drainage, Upper Veins 059",
Phlebotomy,Phlebotomy,Phlebotomy,1,see,"Drainage, Lower Veins 069",
Photocoagulation,Photocoagulation > For Destruction,Photocoagulation > For Destruction,1,see,Destruction,
Photocoagulation,Photocoagulation > For Repair,Photocoagulation > For Repair,1,see,Repair,
"Photopheresis, therapeutic","Photopheresis, therapeutic","Photopheresis, therapeutic",0,see,"Phototherapy, Circulatory 6A65",6A65
Phototherapy,Phototherapy > Circulatory,Phototherapy > Circulatory,1,codes,,6A65
Phototherapy,Phototherapy > Skin,Phototherapy > Skin,1,codes,,6A60
Phototherapy,Phototherapy > Ultraviolet light,Phototherapy > Ultraviolet light,1,see,"Ultraviolet Light Therapy, Physiological Systems 6A8",
"Phrenectomy, phrenoneurectomy","Phrenectomy, phrenoneurectomy","Phrenectomy, phrenoneurectomy",0,see,"Excision, Nerve, Phrenic 01B2",01B2
Phrenemphraxis,Phrenemphraxis,Phrenemphraxis,0,see,"Destruction, Nerve, Phrenic 0152",0152
Phrenic nerve stimulator generator,Phrenic nerve stimulator generator,Phrenic nerve stimulator generator,0,use,Stimulator Generator in Subcutaneous Tissue and Fascia,
Phrenic nerve stimulator lead,Phrenic nerve stimulator lead,Phrenic nerve stimulator lead,0,use,Diaphragmatic Pacemaker Lead in Respiratory System,
Phreniclasis,Phreniclasis,Phreniclasis,0,see,"Destruction, Nerve, Phrenic 0152",0152
Phrenicoexeresis,Phrenicoexeresis,Phrenicoexeresis,0,see,"Extraction, Nerve, Phrenic 01D2",01D2
Phrenicotomy,Phrenicotomy,Phrenicotomy,0,see,"Division, Nerve, Phrenic 0182",0182
Phrenicotripsy,Phrenicotripsy,Phrenicotripsy,0,see,"Destruction, Nerve, Phrenic 0152",0152
Phrenoplasty,Phrenoplasty,Phrenoplasty,1,see,"Repair, Respiratory System 0BQ",
Phrenoplasty,Phrenoplasty,Phrenoplasty,1,see,"Supplement, Respiratory System 0BU",
Phrenotomy,Phrenotomy,Phrenotomy,0,see,"Drainage, Respiratory System 0B9",
Physiatry,Physiatry,Physiatry,0,see,"Motor Treatment, Rehabilitation F07",
Physical medicine,Physical medicine,Physical medicine,0,see,"Motor Treatment, Rehabilitation F07",
Physical therapy,Physical therapy,Physical therapy,0,see,"Motor Treatment, Rehabilitation F07",
PHYSIOMESH(tm) Flexible Composite Mesh,PHYSIOMESH(tm) Flexible Composite Mesh,PHYSIOMESH(tm) Flexible Composite Mesh,0,use,Synthetic Substitute,
"Pia mater, intracranial","Pia mater, intracranial","Pia mater, intracranial",0,use,Cerebral Meninges,
"Pia mater, spinal","Pia mater, spinal","Pia mater, spinal",0,use,Spinal Meninges,
PiCSO(R) Impulse System,PiCSO(R) Impulse System,PiCSO(R) Impulse System,0,code,,X2A7358
PillSense(tm) GI Bleed Detection System,PillSense(tm) GI Bleed Detection System,PillSense(tm) GI Bleed Detection System,0,code,,XDJ07LB
Pinealectomy,Pinealectomy,Pinealectomy,1,see,"Excision, Pineal Body 0GB1",0GB1
Pinealectomy,Pinealectomy,Pinealectomy,1,see,"Resection, Pineal Body 0GT1",0GT1
Pinealoscopy,Pinealoscopy,Pinealoscopy,0,code,,0GJ14ZZ
Pinealotomy,Pinealotomy,Pinealotomy,0,see,"Drainage, Pineal Body 0G91",0G91
Pinna,Pinna,Pinna,1,use,"External Ear, Right",
Pinna,Pinna,Pinna,1,use,"External Ear, Left",
Pinna,Pinna,Pinna,1,use,"External Ear, Bilateral",
Pipeline(tm) (Flex) embolization device,Pipeline(tm) (Flex) embolization device,Pipeline(tm) (Flex) embolization device,0,use,"Intraluminal Device, Flow Diverter in 03V",
Piriform recess (sinus),Piriform recess (sinus),Piriform recess (sinus),0,use,Pharynx,
Piriformis muscle,Piriformis muscle,Piriformis muscle,1,use,"Hip Muscle, Right",
Piriformis muscle,Piriformis muscle,Piriformis muscle,1,use,"Hip Muscle, Left",
PIRRT (Prolonged intermittent renal replacement therapy),PIRRT (Prolonged intermittent renal replacement therapy),PIRRT (Prolonged intermittent renal replacement therapy),0,code,,5A1D80Z
Piscine skin,Piscine skin,Piscine skin,0,use,Nonautologous Tissue Substitute,
Pisiform bone,Pisiform bone,Pisiform bone,1,use,"Carpal, Right",
Pisiform bone,Pisiform bone,Pisiform bone,1,use,"Carpal, Left",
Pisohamate ligament,Pisohamate ligament,Pisohamate ligament,1,use,"Hand Bursa and Ligament, Right",
Pisohamate ligament,Pisohamate ligament,Pisohamate ligament,1,use,"Hand Bursa and Ligament, Left",
Pisometacarpal ligament,Pisometacarpal ligament,Pisometacarpal ligament,1,use,"Hand Bursa and Ligament, Right",
Pisometacarpal ligament,Pisometacarpal ligament,Pisometacarpal ligament,1,use,"Hand Bursa and Ligament, Left",
Pituitectomy,Pituitectomy,Pituitectomy,1,see,"Excision, Gland, Pituitary 0GB0",0GB0
Pituitectomy,Pituitectomy,Pituitectomy,1,see,"Resection, Gland, Pituitary 0GT0",0GT0
Plain film radiology,Plain film radiology,Plain film radiology,0,see,Plain Radiography,
Plain Radiography,Plain Radiography > Abdomen,Plain Radiography > Abdomen,1,code,,BW00ZZZ
Plain Radiography,Plain Radiography > Abdomen and Pelvis,Plain Radiography > Abdomen and Pelvis,1,code,,BW01ZZZ
Plain Radiography,Plain Radiography > Abdominal Lymphatic > Bilateral,Plain Radiography > Abdominal Lymphatic > Bilateral,2,codes,,B701
Plain Radiography,Plain Radiography > Abdominal Lymphatic > Unilateral,Plain Radiography > Abdominal Lymphatic > Unilateral,2,codes,,B700
Plain Radiography,"Plain Radiography > Airway, Upper","Plain Radiography > Airway, Upper",1,code,,BB0DZZZ
Plain Radiography,Plain Radiography > Ankle > Left,Plain Radiography > Ankle > Left,2,codes,,BQ0H
Plain Radiography,Plain Radiography > Ankle > Right,Plain Radiography > Ankle > Right,2,codes,,BQ0G
Plain Radiography,Plain Radiography > Aorta > Abdominal,Plain Radiography > Aorta > Abdominal,2,codes,,B400
Plain Radiography,Plain Radiography > Aorta > Thoracic,Plain Radiography > Aorta > Thoracic,2,codes,,B300
Plain Radiography,Plain Radiography > Aorta > Thoraco-Abdominal,Plain Radiography > Aorta > Thoraco-Abdominal,2,codes,,B30P
Plain Radiography,Plain Radiography > Aorta and Bilateral Lower Extremity Arteries,Plain Radiography > Aorta and Bilateral Lower Extremity Arteries,1,codes,,B40D
Plain Radiography,Plain Radiography > Arch > Bilateral,Plain Radiography > Arch > Bilateral,2,code,,BN0DZZZ
Plain Radiography,Plain Radiography > Arch > Left,Plain Radiography > Arch > Left,2,code,,BN0CZZZ
Plain Radiography,Plain Radiography > Arch > Right,Plain Radiography > Arch > Right,2,code,,BN0BZZZ
Plain Radiography,Plain Radiography > Arm > Left,Plain Radiography > Arm > Left,2,code,,BP0FZZZ
Plain Radiography,Plain Radiography > Arm > Right,Plain Radiography > Arm > Right,2,code,,BP0EZZZ
Plain Radiography,"Plain Radiography > Artery > Brachiocephalic-Subclavian, Right","Plain Radiography > Artery > Brachiocephalic-Subclavian, Right",2,codes,,B301
Plain Radiography,Plain Radiography > Artery > Bronchial,Plain Radiography > Artery > Bronchial,2,codes,,B30L
Plain Radiography,"Plain Radiography > Artery > Bypass Graft, Other","Plain Radiography > Artery > Bypass Graft, Other",2,codes,,B20F
Plain Radiography,Plain Radiography > Artery > Cervico-Cerebral Arch,Plain Radiography > Artery > Cervico-Cerebral Arch,2,codes,,B30Q
Plain Radiography,Plain Radiography > Artery > Common Carotid > Bilateral,Plain Radiography > Artery > Common Carotid > Bilateral,3,codes,,B305
Plain Radiography,Plain Radiography > Artery > Common Carotid > Left,Plain Radiography > Artery > Common Carotid > Left,3,codes,,B304
Plain Radiography,Plain Radiography > Artery > Common Carotid > Right,Plain Radiography > Artery > Common Carotid > Right,3,codes,,B303
Plain Radiography,Plain Radiography > Artery > Coronary > Bypass Graft > Multiple,Plain Radiography > Artery > Coronary > Bypass Graft > Multiple,4,codes,,B203
Plain Radiography,Plain Radiography > Artery > Coronary > Bypass Graft > Single,Plain Radiography > Artery > Coronary > Bypass Graft > Single,4,codes,,B202
Plain Radiography,Plain Radiography > Artery > Coronary > Multiple,Plain Radiography > Artery > Coronary > Multiple,3,codes,,B201
Plain Radiography,Plain Radiography > Artery > Coronary > Single,Plain Radiography > Artery > Coronary > Single,3,codes,,B200
Plain Radiography,Plain Radiography > Artery > External Carotid > Bilateral,Plain Radiography > Artery > External Carotid > Bilateral,3,codes,,B30C
Plain Radiography,Plain Radiography > Artery > External Carotid > Left,Plain Radiography > Artery > External Carotid > Left,3,codes,,B30B
Plain Radiography,Plain Radiography > Artery > External Carotid > Right,Plain Radiography > Artery > External Carotid > Right,3,codes,,B309
Plain Radiography,Plain Radiography > Artery > Hepatic,Plain Radiography > Artery > Hepatic,2,codes,,B402
Plain Radiography,Plain Radiography > Artery > Inferior Mesenteric,Plain Radiography > Artery > Inferior Mesenteric,2,codes,,B405
Plain Radiography,Plain Radiography > Artery > Intercostal,Plain Radiography > Artery > Intercostal,2,codes,,B30L
Plain Radiography,Plain Radiography > Artery > Internal Carotid > Bilateral,Plain Radiography > Artery > Internal Carotid > Bilateral,3,codes,,B308
Plain Radiography,Plain Radiography > Artery > Internal Carotid > Left,Plain Radiography > Artery > Internal Carotid > Left,3,codes,,B307
Plain Radiography,Plain Radiography > Artery > Internal Carotid > Right,Plain Radiography > Artery > Internal Carotid > Right,3,codes,,B306
Plain Radiography,Plain Radiography > Artery > Internal Mammary Bypass Graft > Left,Plain Radiography > Artery > Internal Mammary Bypass Graft > Left,3,codes,,B208
Plain Radiography,Plain Radiography > Artery > Internal Mammary Bypass Graft > Right,Plain Radiography > Artery > Internal Mammary Bypass Graft > Right,3,codes,,B207
Plain Radiography,"Plain Radiography > Artery > Intra-Abdominal, Other","Plain Radiography > Artery > Intra-Abdominal, Other",2,codes,,B40B
Plain Radiography,Plain Radiography > Artery > Intracranial,Plain Radiography > Artery > Intracranial,2,codes,,B30R
Plain Radiography,"Plain Radiography > Artery > Lower, Other","Plain Radiography > Artery > Lower, Other",2,codes,,B40J
Plain Radiography,Plain Radiography > Artery > Lower Extremity > Bilateral and Aorta,Plain Radiography > Artery > Lower Extremity > Bilateral and Aorta,3,codes,,B40D
Plain Radiography,Plain Radiography > Artery > Lower Extremity > Left,Plain Radiography > Artery > Lower Extremity > Left,3,codes,,B40G
Plain Radiography,Plain Radiography > Artery > Lower Extremity > Right,Plain Radiography > Artery > Lower Extremity > Right,3,codes,,B40F
Plain Radiography,Plain Radiography > Artery > Lumbar,Plain Radiography > Artery > Lumbar,2,codes,,B409
Plain Radiography,Plain Radiography > Artery > Pelvic,Plain Radiography > Artery > Pelvic,2,codes,,B40C
Plain Radiography,Plain Radiography > Artery > Pulmonary > Left,Plain Radiography > Artery > Pulmonary > Left,3,codes,,B30T
Plain Radiography,Plain Radiography > Artery > Pulmonary > Right,Plain Radiography > Artery > Pulmonary > Right,3,codes,,B30S
Plain Radiography,Plain Radiography > Artery > Renal > Bilateral,Plain Radiography > Artery > Renal > Bilateral,3,codes,,B408
Plain Radiography,Plain Radiography > Artery > Renal > Left,Plain Radiography > Artery > Renal > Left,3,codes,,B407
Plain Radiography,Plain Radiography > Artery > Renal > Right,Plain Radiography > Artery > Renal > Right,3,codes,,B406
Plain Radiography,Plain Radiography > Artery > Renal > Transplant,Plain Radiography > Artery > Renal > Transplant,3,codes,,B40M
Plain Radiography,Plain Radiography > Artery > Spinal,Plain Radiography > Artery > Spinal,2,codes,,B30M
Plain Radiography,Plain Radiography > Artery > Splenic,Plain Radiography > Artery > Splenic,2,codes,,B403
Plain Radiography,"Plain Radiography > Artery > Subclavian, Left","Plain Radiography > Artery > Subclavian, Left",2,codes,,B302
Plain Radiography,Plain Radiography > Artery > Superior Mesenteric,Plain Radiography > Artery > Superior Mesenteric,2,codes,,B404
Plain Radiography,"Plain Radiography > Artery > Upper, Other","Plain Radiography > Artery > Upper, Other",2,codes,,B30N
Plain Radiography,Plain Radiography > Artery > Upper Extremity > Bilateral,Plain Radiography > Artery > Upper Extremity > Bilateral,3,codes,,B30K
Plain Radiography,Plain Radiography > Artery > Upper Extremity > Left,Plain Radiography > Artery > Upper Extremity > Left,3,codes,,B30J
Plain Radiography,Plain Radiography > Artery > Upper Extremity > Right,Plain Radiography > Artery > Upper Extremity > Right,3,codes,,B30H
Plain Radiography,Plain Radiography > Artery > Vertebral > Bilateral,Plain Radiography > Artery > Vertebral > Bilateral,3,codes,,B30G
Plain Radiography,Plain Radiography > Artery > Vertebral > Left,Plain Radiography > Artery > Vertebral > Left,3,codes,,B30F
Plain Radiography,Plain Radiography > Artery > Vertebral > Right,Plain Radiography > Artery > Vertebral > Right,3,codes,,B30D
Plain Radiography,Plain Radiography > Bile Duct,Plain Radiography > Bile Duct,1,codes,,BF00
Plain Radiography,Plain Radiography > Bile Duct and Gallbladder,Plain Radiography > Bile Duct and Gallbladder,1,codes,,BF03
Plain Radiography,Plain Radiography > Bladder,Plain Radiography > Bladder,1,codes,,BT00
Plain Radiography,Plain Radiography > Bladder > Kidney and Ureter,Plain Radiography > Bladder > Kidney and Ureter,2,codes,,BT04
Plain Radiography,Plain Radiography > Bladder and Urethra,Plain Radiography > Bladder and Urethra,1,codes,,BT0B
Plain Radiography,Plain Radiography > Bone > Facial,Plain Radiography > Bone > Facial,2,code,,BN05ZZZ
Plain Radiography,Plain Radiography > Bone > Nasal,Plain Radiography > Bone > Nasal,2,code,,BN04ZZZ
Plain Radiography,"Plain Radiography > Bones, Long, All","Plain Radiography > Bones, Long, All",1,code,,BW0BZZZ
Plain Radiography,Plain Radiography > Breast > Bilateral,Plain Radiography > Breast > Bilateral,2,code,,BH02ZZZ
Plain Radiography,Plain Radiography > Breast > Left,Plain Radiography > Breast > Left,2,code,,BH01ZZZ
Plain Radiography,Plain Radiography > Breast > Right,Plain Radiography > Breast > Right,2,code,,BH00ZZZ
Plain Radiography,Plain Radiography > Calcaneus > Left,Plain Radiography > Calcaneus > Left,2,code,,BQ0KZZZ
Plain Radiography,Plain Radiography > Calcaneus > Right,Plain Radiography > Calcaneus > Right,2,code,,BQ0JZZZ
Plain Radiography,Plain Radiography > Chest,Plain Radiography > Chest,1,code,,BW03ZZZ
Plain Radiography,Plain Radiography > Clavicle > Left,Plain Radiography > Clavicle > Left,2,code,,BP05ZZZ
Plain Radiography,Plain Radiography > Clavicle > Right,Plain Radiography > Clavicle > Right,2,code,,BP04ZZZ
Plain Radiography,Plain Radiography > Coccyx,Plain Radiography > Coccyx,1,code,,BR0FZZZ
Plain Radiography,Plain Radiography > Corpora Cavernosa,Plain Radiography > Corpora Cavernosa,1,codes,,BV00
Plain Radiography,Plain Radiography > Dialysis Fistula,Plain Radiography > Dialysis Fistula,1,codes,,B50W
Plain Radiography,Plain Radiography > Dialysis Shunt,Plain Radiography > Dialysis Shunt,1,codes,,B50W
Plain Radiography,Plain Radiography > Disc > Cervical,Plain Radiography > Disc > Cervical,2,codes,,BR01
Plain Radiography,Plain Radiography > Disc > Lumbar,Plain Radiography > Disc > Lumbar,2,codes,,BR03
Plain Radiography,Plain Radiography > Disc > Thoracic,Plain Radiography > Disc > Thoracic,2,codes,,BR02
Plain Radiography,Plain Radiography > Duct > Lacrimal > Bilateral,Plain Radiography > Duct > Lacrimal > Bilateral,3,codes,,B802
Plain Radiography,Plain Radiography > Duct > Lacrimal > Left,Plain Radiography > Duct > Lacrimal > Left,3,codes,,B801
Plain Radiography,Plain Radiography > Duct > Lacrimal > Right,Plain Radiography > Duct > Lacrimal > Right,3,codes,,B800
Plain Radiography,Plain Radiography > Duct > Mammary > Multiple > Left,Plain Radiography > Duct > Mammary > Multiple > Left,4,codes,,BH06
Plain Radiography,Plain Radiography > Duct > Mammary > Multiple > Right,Plain Radiography > Duct > Mammary > Multiple > Right,4,codes,,BH05
Plain Radiography,Plain Radiography > Duct > Mammary > Single > Left,Plain Radiography > Duct > Mammary > Single > Left,4,codes,,BH04
Plain Radiography,Plain Radiography > Duct > Mammary > Single > Right,Plain Radiography > Duct > Mammary > Single > Right,4,codes,,BH03
Plain Radiography,Plain Radiography > Elbow > Left,Plain Radiography > Elbow > Left,2,codes,,BP0H
Plain Radiography,Plain Radiography > Elbow > Right,Plain Radiography > Elbow > Right,2,codes,,BP0G
Plain Radiography,Plain Radiography > Epididymis > Left,Plain Radiography > Epididymis > Left,2,codes,,BV02
Plain Radiography,Plain Radiography > Epididymis > Right,Plain Radiography > Epididymis > Right,2,codes,,BV01
Plain Radiography,Plain Radiography > Extremity > Lower,Plain Radiography > Extremity > Lower,2,code,,BW0CZZZ
Plain Radiography,Plain Radiography > Extremity > Upper,Plain Radiography > Extremity > Upper,2,code,,BW0JZZZ
Plain Radiography,Plain Radiography > Eye > Bilateral,Plain Radiography > Eye > Bilateral,2,code,,B807ZZZ
Plain Radiography,Plain Radiography > Eye > Left,Plain Radiography > Eye > Left,2,code,,B806ZZZ
Plain Radiography,Plain Radiography > Eye > Right,Plain Radiography > Eye > Right,2,code,,B805ZZZ
Plain Radiography,Plain Radiography > Facet Joint > Cervical,Plain Radiography > Facet Joint > Cervical,2,codes,,BR04
Plain Radiography,Plain Radiography > Facet Joint > Lumbar,Plain Radiography > Facet Joint > Lumbar,2,codes,,BR06
Plain Radiography,Plain Radiography > Facet Joint > Thoracic,Plain Radiography > Facet Joint > Thoracic,2,codes,,BR05
Plain Radiography,Plain Radiography > Fallopian Tube > Bilateral,Plain Radiography > Fallopian Tube > Bilateral,2,codes,,BU02
Plain Radiography,Plain Radiography > Fallopian Tube > Left,Plain Radiography > Fallopian Tube > Left,2,codes,,BU01
Plain Radiography,Plain Radiography > Fallopian Tube > Right,Plain Radiography > Fallopian Tube > Right,2,codes,,BU00
Plain Radiography,Plain Radiography > Fallopian Tube and Uterus,Plain Radiography > Fallopian Tube and Uterus,1,codes,,BU08
Plain Radiography,"Plain Radiography > Femur > Left, Densitometry","Plain Radiography > Femur > Left, Densitometry",2,code,,BQ04ZZ1
