full_code,section,body_system,operation,operation_definition,body_part_code,body_part,approach_code,approach,device_code,device,qualifier_code,qualifier
00164J8,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,J,Synthetic Substitute,8,Bone Marrow
00164JA,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,J,Synthetic Substitute,A,Subgaleal Space
00164JB,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,J,Synthetic Substitute,B,Cerebral Cisterns
00164K0,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,K,Nonautologous Tissue Substitute,0,Nasopharynx
00164K1,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,K,Nonautologous Tissue Substitute,1,Mastoid Sinus
00164K2,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,K,Nonautologous Tissue Substitute,2,Atrium
00164K3,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,K,Nonautologous Tissue Substitute,3,Blood Vessel
00164K4,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,K,Nonautologous Tissue Substitute,4,Pleural Cavity
00164K5,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,K,Nonautologous Tissue Substitute,5,Intestine
00164K6,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,K,Nonautologous Tissue Substitute,6,Peritoneal Cavity
00164K7,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,K,Nonautologous Tissue Substitute,7,Urinary Tract
00164K8,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,K,Nonautologous Tissue Substitute,8,Bone Marrow
00164KA,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,K,Nonautologous Tissue Substitute,A,Subgaleal Space
00164KB,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,K,Nonautologous Tissue Substitute,B,Cerebral Cisterns
00160ZB,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,Z,No Device,B,Cerebral Cisterns
00163ZB,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,Z,No Device,B,Cerebral Cisterns
00164ZB,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,4,Percutaneous Endoscopic,Z,No Device,B,Cerebral Cisterns
